species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE
Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE
Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE
Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE
Chinstrap,Dream,46.4,17.8,191.0,3700.0,FEMALE
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE
Chinstrap,Dream,40.9,16.6,187.0,3200.0,FEMALE
Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE
Chinstrap,Dream,42.5,16.7,187.0,3350.0,FEMALE
Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE
Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE
Chinstrap,Dream,47.5,16.8,199.0,3900.0,FEMALE
Chinstrap,Dream,47.6,18.3,195.0,3850.0,FEMALE
Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE
Chinstrap,Dream,53.5,19.9,205.0,4500.0,MALE
Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE
Chinstrap,Dream,46.2,17.5,187.0,3650.0,FEMALE
Chinstrap,Dream,50.9,19.1,196.0,3550.0,MALE
Chinstrap,Dream,45.5,17.0,196.0,3500.0,FEMALE
Chinstrap,Dream,50.9,17.9,196.0,3675.0,FEMALE
Chinstrap,Dream,50.8,18.5,201.0,4450.0,MALE
Chinstrap,Dream,50.1,17.9,190.0,3400.0,FEMALE
Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE
Chinstrap,Dream,49.8,17.3,198.0,3675.0,FEMALE
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE
Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE
Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE
Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE
Chinstrap,Dream,42.5,17.3,187.0,3350.0,FEMALE
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
