species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE
Adelie,Torgersen,,,,,
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE
Adelie,Torgersen,34.1,18.1,193.0,3475.0,
Adelie,Torgersen,42.0,20.2,190.0,4250.0,
Adelie,Torgersen,37.8,17.1,186.0,3300.0,
Adelie,Torgersen,37.8,17.3,180.0,3700.0,
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE
Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE
Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE
Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE
Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE
Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE
Adelie,Dream,37.2,18.1,178.0,3900.0,MALE
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE
