species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,FEMALE
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,FEMALE
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,MALE
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,FEMALE
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,MALE
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,MALE
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,FEMALE
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,MALE
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,FEMALE
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,MALE
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,FEMALE
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,MALE
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,FEMALE
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,MALE
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,FEMALE
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,MALE
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,FEMALE
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,FEMALE
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,MALE
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,FEMALE
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,MALE
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,FEMALE
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,MALE
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,FEMALE
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,MALE
