species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,MALE
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,FEMALE
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,FEMALE
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,MALE
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,FEMALE
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,MALE
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,FEMALE
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,MALE
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,FEMALE
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,MALE
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,MALE
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,FEMALE
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,MALE
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,MALE
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,FEMALE
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,MALE
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,FEMALE
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,.
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,MALE
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE
Gentoo,Biscoe,,,,,
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,FEMALE
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,FEMALE
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE
